model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,margin_shift,class_gap
qwen3.5-9b,C,7,8,R_harm,R_harm,1.0,1.0,0.8861337900161743,0.8745672538876533,0.8980557963252067,-0.000800013542175293,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,1.0,1.0,-0.1887306272983551,-0.1983328763395548,-0.17815169580280782,-0.010000020265579224,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,1.0,1.0,-0.08597133308649063,-0.08844206444919109,-0.08362154383212328,0.03760001063346863,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,1.0,1.0,0.016674047335982323,0.008237083628773689,0.025098123773932453,-0.001199960708618164,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,1.0,1.0,-0.0011529778130352497,-0.012682512123137712,0.010689051961526272,-0.0040000081062316895,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,1.0,1.0,-0.04266803711652756,-0.0518160886131227,-0.033013575430959466,-0.034399986267089844,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,1.0,1.0,0.017729539424180984,0.011567089264281094,0.02450408963486552,-0.0012000203132629395,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,1.0,1.0,0.018396839499473572,0.01034089089371264,0.02800476918928325,-0.0035999417304992676,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,1.0,1.0,-0.0037381735164672136,-0.015214900020509958,0.007531322340946637,-0.004800021648406982,0.02998056635260582,0.0570475235581398,0.030074226786382496,1.89689078170983,0.43171873688697815,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-1.0,1.0,-0.9211643934249878,-0.9282766178250312,-0.9140812203288078,0.0,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-1.0,1.0,0.1440916806459427,0.13486494831740856,0.15247868262231348,0.009999990463256836,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-1.0,1.0,0.10314606875181198,0.10114160031080247,0.10522776488214731,-0.03759998083114624,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-1.0,1.0,-0.032862208783626556,-0.04259034125134349,-0.023333450593054306,0.001600027084350586,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-1.0,1.0,-0.022402755916118622,-0.036595781613141296,-0.008932275953702629,0.0031999945640563965,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-1.0,1.0,0.016827372834086418,0.004375925986096263,0.028294987417757506,0.04240000247955322,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-1.0,1.0,-0.025654267519712448,-0.03316156165674329,-0.019201778108254092,0.001999974250793457,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-1.0,1.0,-0.028138987720012665,-0.040632096398621795,-0.018137790961191058,0.0028000473976135254,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-1.0,1.0,0.0058157374151051044,-0.009729176200926304,0.020258567854762075,0.03479999303817749,0.05708565562963486,0.10918770730495453,0.030074226786382496,3.6306072997492436,-0.5381249785423279,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,2.0,2.0,1.6777125597000122,1.6501762866973877,1.7043622016906739,-0.0015999674797058105,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,1.976116418838501
