model,stage,steer_layer,relative_depth,source,token_set,alpha,abs_alpha,mean_kl,margin_shift
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,-0.25,0.25,0.0006607047980651259,-0.0072265625931322575
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,0.5,0.5,0.001135762664489448,0.01601562462747097
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,-0.5,0.5,0.0012488907668739557,-0.02597656287252903
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,1.0,1.0,0.0026197812985628843,0.03867187350988388
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,-1.0,1.0,0.003250862704589963,-0.05878906324505806
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,2.0,2.0,0.008769107982516289,0.09511718899011612
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,-2.0,2.0,0.011473024263978004,-0.11074218899011612
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,4.0,4.0,0.024125071242451668,0.24082031846046448
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,-4.0,4.0,0.04061358422040939,-0.16152343153953552
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,0.25,0.25,0.0017543602734804153,0.01523437537252903
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,-0.25,0.25,0.0010748928179964423,-0.03496093675494194
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,0.5,0.5,0.0041603827849030495,0.03535156324505806
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,-0.5,0.5,0.002687040949240327,-0.06328125298023224
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,1.0,1.0,0.014243131503462791,0.09648437798023224
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,-1.0,1.0,0.009460030123591423,-0.11269531399011612
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,2.0,2.0,0.04962289333343506,0.21953125298023224
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,-2.0,2.0,0.033674199134111404,-0.20527343451976776
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,4.0,4.0,0.13563905656337738,0.1943359375
qwen2.5-7b,B,11,0.4074,R_role,t_inst_only,-4.0,4.0,0.09920541942119598,-0.37910157442092896
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,0.25,0.25,0.0038329765666276217,-0.16875000298023224
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,-0.25,0.25,0.004751821048557758,0.15839843451976776
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,0.5,0.5,0.014186819083988667,-0.2939453125
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,-0.5,0.5,0.01780111715197563,0.3080078065395355
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,1.0,1.0,0.05334027484059334,-0.5658203363418579
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,-1.0,1.0,0.06936626136302948,0.5912109613418579
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,2.0,2.0,0.21758833527565002,-0.915234386920929
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,-2.0,2.0,0.2714778482913971,0.958984375
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,4.0,4.0,0.796570897102356,-1.297460913658142
qwen2.5-7b,B,11,0.4074,R_harm,post_instruction,-4.0,4.0,1.6048988103866577,2.4380860328674316
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,0.25,0.25,0.0013204561546444893,0.11992187798023224
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,-0.25,0.25,0.0017464632401242852,-0.13945312798023224
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,0.5,0.5,0.0039479369297623634,0.2669921815395355
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,-0.5,0.5,0.0045612044632434845,-0.2740234434604645
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,1.0,1.0,0.013949182815849781,0.5755859613418579
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,-1.0,1.0,0.015080134384334087,-0.49042969942092896
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,2.0,2.0,0.05657076835632324,1.275390625
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,-2.0,2.0,0.05867119878530502,-0.9599609375
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,4.0,4.0,0.2058064043521881,2.4571290016174316
qwen2.5-7b,B,11,0.4074,R_control,post_instruction,-4.0,4.0,0.3186142146587372,-1.9939453601837158
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,0.25,0.25,0.008650834672152996,0.31425780057907104
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,-0.25,0.25,0.005420413799583912,-0.24492187798023224
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,0.5,0.5,0.03504231199622154,0.678515613079071
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,-0.5,0.5,0.02384789288043976,-0.41972655057907104
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,1.0,1.0,0.15221896767616272,1.2711913585662842
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,-1.0,1.0,0.10905055701732635,-0.5263671875
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,2.0,2.0,0.7326844334602356,1.054101586341858
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,-2.0,2.0,0.3084923028945923,-0.37285155057907104
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,4.0,4.0,3.4143588542938232,-1.889257788658142
qwen2.5-7b,B,11,0.4074,R_role,post_instruction,-4.0,4.0,0.6731588840484619,-0.590039074420929
qwen2.5-7b,B,13,0.4815,R_harm,all_real,0.25,0.25,0.055546291172504425,0.5728515386581421
qwen2.5-7b,B,13,0.4815,R_harm,all_real,-0.25,0.25,0.0751403197646141,-0.44453126192092896
qwen2.5-7b,B,13,0.4815,R_harm,all_real,0.5,0.5,0.1854342669248581,1.24609375
qwen2.5-7b,B,13,0.4815,R_harm,all_real,-0.5,0.5,0.29461097717285156,-0.8970702886581421
qwen2.5-7b,B,13,0.4815,R_harm,all_real,1.0,1.0,0.9062532186508179,3.6138672828674316
qwen2.5-7b,B,13,0.4815,R_harm,all_real,-1.0,1.0,1.074454426765442,-2.164257764816284
