model,arm,position,layer,relative_depth,tag_contrast,register_contrast,cos_tag_register,tag_split_half,register_split_half,floor,distinct
qwen2.5-7b,generated,t_inst,15,0.5556,system_vs_user,tool_register_vs_user_register,0.23031918704509735,0.8132144808769226,0.9915026426315308,0.8132144808769226,True
qwen2.5-7b,generated,t_inst,15,0.5556,assistant_vs_user,system_register_vs_tool_register,0.26716285943984985,0.7318646311759949,0.9931627511978149,0.7318646311759949,True
qwen2.5-7b,generated,t_inst,15,0.5556,assistant_vs_user,system_register_vs_user_register,0.21699510514736176,0.7318646311759949,0.9735296964645386,0.7318646311759949,True
qwen2.5-7b,generated,t_inst,15,0.5556,assistant_vs_user,tool_register_vs_user_register,0.16121113300323486,0.7318646311759949,0.9915026426315308,0.7318646311759949,True
qwen2.5-7b,generated,t_inst,16,0.5926,tool_vs_user,system_register_vs_tool_register,0.07501363009214401,0.9074726104736328,0.9923197031021118,0.9074726104736328,True
qwen2.5-7b,generated,t_inst,16,0.5926,tool_vs_user,system_register_vs_user_register,0.00805623922497034,0.9074726104736328,0.9699870347976685,0.9074726104736328,True
qwen2.5-7b,generated,t_inst,16,0.5926,tool_vs_user,tool_register_vs_user_register,0.0759468525648117,0.9074726104736328,0.9911841154098511,0.9074726104736328,True
qwen2.5-7b,generated,t_inst,16,0.5926,system_vs_user,system_register_vs_tool_register,0.2206026166677475,0.8240224123001099,0.9923197031021118,0.8240224123001099,True
qwen2.5-7b,generated,t_inst,16,0.5926,system_vs_user,system_register_vs_user_register,0.01596367359161377,0.8240224123001099,0.9699870347976685,0.8240224123001099,True
qwen2.5-7b,generated,t_inst,16,0.5926,system_vs_user,tool_register_vs_user_register,0.22797082364559174,0.8240224123001099,0.9911841154098511,0.8240224123001099,True
qwen2.5-7b,generated,t_inst,16,0.5926,assistant_vs_user,system_register_vs_tool_register,0.17511357367038727,0.7609055042266846,0.9923197031021118,0.7609055042266846,True
qwen2.5-7b,generated,t_inst,16,0.5926,assistant_vs_user,system_register_vs_user_register,0.10628639161586761,0.7609055042266846,0.9699870347976685,0.7609055042266846,True
qwen2.5-7b,generated,t_inst,16,0.5926,assistant_vs_user,tool_register_vs_user_register,0.12495081126689911,0.7609055042266846,0.9911841154098511,0.7609055042266846,True
qwen2.5-7b,generated,t_inst,17,0.6296,tool_vs_user,system_register_vs_tool_register,0.01831952854990959,0.9208642840385437,0.9922974705696106,0.9208642840385437,True
qwen2.5-7b,generated,t_inst,17,0.6296,tool_vs_user,system_register_vs_user_register,0.028085988014936447,0.9208642840385437,0.9692819714546204,0.9208642840385437,True
qwen2.5-7b,generated,t_inst,17,0.6296,tool_vs_user,tool_register_vs_user_register,0.035806044936180115,0.9208642840385437,0.9914730191230774,0.9208642840385437,True
qwen2.5-7b,generated,t_inst,17,0.6296,system_vs_user,system_register_vs_tool_register,0.21394237875938416,0.8277153968811035,0.9922974705696106,0.8277153968811035,True
qwen2.5-7b,generated,t_inst,17,0.6296,system_vs_user,system_register_vs_user_register,0.03390789031982422,0.8277153968811035,0.9692819714546204,0.8277153968811035,True
qwen2.5-7b,generated,t_inst,17,0.6296,system_vs_user,tool_register_vs_user_register,0.20983600616455078,0.8277153968811035,0.9914730191230774,0.8277153968811035,True
qwen2.5-7b,generated,t_inst,17,0.6296,assistant_vs_user,system_register_vs_tool_register,0.1684432178735733,0.7562345266342163,0.9922974705696106,0.7562345266342163,True
qwen2.5-7b,generated,t_inst,17,0.6296,assistant_vs_user,system_register_vs_user_register,0.09051864594221115,0.7562345266342163,0.9692819714546204,0.7562345266342163,True
qwen2.5-7b,generated,t_inst,17,0.6296,assistant_vs_user,tool_register_vs_user_register,0.12847284972667694,0.7562345266342163,0.9914730191230774,0.7562345266342163,True
qwen2.5-7b,generated,t_inst,18,0.6667,tool_vs_user,system_register_vs_tool_register,0.026271095499396324,0.9331783056259155,0.992756187915802,0.9331783056259155,True
qwen2.5-7b,generated,t_inst,18,0.6667,tool_vs_user,system_register_vs_user_register,0.004419269040226936,0.9331783056259155,0.9709151387214661,0.9331783056259155,True
qwen2.5-7b,generated,t_inst,18,0.6667,tool_vs_user,tool_register_vs_user_register,0.02556818723678589,0.9331783056259155,0.9916912913322449,0.9331783056259155,True
qwen2.5-7b,generated,t_inst,18,0.6667,system_vs_user,system_register_vs_tool_register,0.22823187708854675,0.8426276445388794,0.992756187915802,0.8426276445388794,True
